ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
A50255C1E17942AB,classic_bike,10/14/2022 17:13,10/14/2022 17:19,Noble St & Milwaukee Ave,13290,Larrabee St & Division St,KA1504000079,41.90068,-87.6626,41.90348607,-87.64335349,member
DB692A70BD2DD4E3,electric_bike,10/1/2022 16:29,10/1/2022 16:49,Damen Ave & Charleston St,13288,Damen Ave & Cullerton St,13089,41.920037,-87.67793683,41.85496652,-87.67569959,casual
3C02727AAF60F873,electric_bike,10/19/2022 18:55,10/19/2022 19:03,Hoyne Ave & Balmoral Ave,655,Western Ave & Leland Ave,TA1307000140,41.9798789,-87.68190205,41.9663998,-87.68870428,member
47E653FDC2D99236,electric_bike,10/31/2022 7:52,10/31/2022 7:58,Rush St & Cedar St,KA1504000133,Orleans St & Chestnut St (NEXT Apts),620,41.90227367,-87.6276925,41.898203,-87.637536,member
8B5407BE535159BF,classic_bike,10/13/2022 18:41,10/13/2022 19:26,900 W Harrison St,13028,Adler Planetarium,13431,41.874754,-87.649807,41.866095,-87.607267,casual
A177C92E9F021B99,electric_bike,10/13/2022 15:53,10/13/2022 15:59,900 W Harrison St,13028,Loomis St & Lexington St,13332,41.874725,-87.64983033,41.872187,-87.661501,casual
DF5EC7678DE3C2B3,electric_bike,10/6/2022 15:51,10/6/2022 15:55,900 W Harrison St,13028,Halsted St & Roosevelt Rd,TA1305000017,41.87471333,-87.649875,41.867324,-87.648625,member
407DE6D80130A297,classic_bike,10/26/2022 17:30,10/26/2022 17:37,Rush St & Cedar St,KA1504000133,Larrabee St & Division St,KA1504000079,41.9023087,-87.62769053,41.90348607,-87.64335349,member
45EEAF68A1A051CA,classic_bike,10/22/2022 9:47,10/22/2022 9:57,Noble St & Milwaukee Ave,13290,Kingsbury St & Kinzie St,KA1503000043,41.90068,-87.6626,41.88917683,-87.63850577,casual
66CD8E4D0C38C0F3,electric_bike,10/24/2022 12:39,10/24/2022 12:48,Noble St & Milwaukee Ave,13290,Damen Ave & Cortland St,13133,41.90070083,-87.66256517,41.915983,-87.677335,member
D3A6201055F40E2E,classic_bike,10/1/2022 7:41,10/1/2022 7:43,Wells St & Concord Ln,TA1308000050,Wells St & Evergreen Ave,TA1308000049,41.912133,-87.634656,41.906724,-87.63483,member
3C57049BF3EE700E,electric_bike,10/13/2022 18:00,10/13/2022 18:08,Stony Island Ave & 64th St,KA1503000021,South Shore Dr & 71st St,KA1503000002,41.7788955,-87.58664465,41.76640946,-87.56568757,casual
668797DD32B6D5C3,electric_bike,10/30/2022 14:48,10/30/2022 14:53,Wells St & Concord Ln,TA1308000050,Wells St & Huron St,TA1306000012,41.9122215,-87.63480867,41.894722,-87.634362,casual
260A97655E379801,classic_bike,10/23/2022 9:12,10/23/2022 9:21,Wells St & Concord Ln,TA1308000050,Wells St & Huron St,TA1306000012,41.912133,-87.634656,41.894722,-87.634362,casual
012567527CD1386B,classic_bike,10/10/2022 17:31,10/10/2022 17:56,Noble St & Milwaukee Ave,13290,Kimball Ave & Belmont Ave,KA150400009X,41.90068,-87.6626,41.939398,-87.711561,casual
E186C680EC611245,classic_bike,10/7/2022 18:46,10/7/2022 18:54,Fort Dearborn Dr & 31st St,TA1307000048,Rhodes Ave & 32nd St,13215,41.838556,-87.608218,41.836208,-87.613533,member
E831D9F660C64BB2,classic_bike,10/2/2022 1:06,10/2/2022 1:11,Leavitt St & Division St,658,Campbell Ave & North Ave,13257,41.902997,-87.683825,41.910535,-87.689556,member
6096D36807F1A5C2,classic_bike,10/9/2022 14:38,10/9/2022 14:50,Stockton Dr & Wrightwood Ave,13276,Ashland Ave & Wrightwood Ave,13296,41.93132,-87.638742,41.92883,-87.668507,casual
E08752C026BDCBA1,electric_bike,10/21/2022 9:51,10/21/2022 10:02,Damen Ave & Charleston St,13288,Sheffield Ave & Fullerton Ave,TA1306000016,41.91997867,-87.67796233,41.92560188,-87.65370804,casual
FEEB694466AF84AE,electric_bike,10/1/2022 9:43,10/1/2022 10:00,Rush St & Cedar St,KA1504000133,Honore St & Division St,TA1305000034,41.90231467,-87.62777017,41.903119,-87.673935,casual
93540B24EF1DDB58,classic_bike,10/28/2022 12:28,10/28/2022 12:31,Rush St & Cedar St,KA1504000133,Mies van der Rohe Way & Chestnut St,15529,41.9023087,-87.62769053,41.89858665,-87.62191523,member
9E1BC1B2984131A3,classic_bike,10/2/2022 8:17,10/2/2022 8:23,Stockton Dr & Wrightwood Ave,13276,Sheffield Ave & Fullerton Ave,TA1306000016,41.93132,-87.638742,41.92560188,-87.65370804,member
225F428B0DFED592,classic_bike,10/9/2022 8:36,10/9/2022 9:10,Wells St & Concord Ln,TA1308000050,McClurg Ct & Ohio St,TA1306000029,41.912133,-87.634656,41.89259212,-87.61728913,member
E06FCDB043BDCDE1,classic_bike,10/22/2022 17:48,10/22/2022 18:21,Calumet Ave & 18th St,13102,McClurg Ct & Ohio St,TA1306000029,41.85788924,-87.62019932,41.89259212,-87.61728913,member
9209A92F1AF15A51,electric_bike,10/6/2022 7:12,10/6/2022 7:12,Hoyne Ave & Balmoral Ave,655,Hoyne Ave & Balmoral Ave,655,41.97989631,-87.68196893,41.979851,-87.681932,member
CA4627353792357A,classic_bike,10/13/2022 7:50,10/13/2022 7:55,Stony Island Ave & 64th St,KA1503000021,Stony Island Ave & 67th St,KA1503000023,41.778881,-87.586647,41.7734585,-87.58533974,casual
